gene,rank_score
CASQ2,0.174191202543963
WDR25,0.174008430945364
3110001I22RIK,0.173767929202631
9030411K21RIK,0.173559109638812
4932438H23RIK,0.173406553378945
R3HCC1,0.172662398069795
DAK,0.172219010291248
5830469G19RIK,0.17119779975737
LRRC27,0.170905287019019
FKBP5,0.170671362577672
9330177L23RIK,0.170569733617779
KCNS3,0.169843688714262
GM4924,0.169666009283245
A330049N07RIK,0.169363842605847
FOXA1,0.168188490816197
2810455O05RIK,0.16803278578661
CDKN2D,0.167601255574161
F2R,0.167469050332018
FEZF2,0.167384442084531
SMPD4,0.167294966246505
HFE2,0.166970226568121
CASP4,0.166353205977
TNNI1,0.164848355962486
DOC2B,0.164351712882444
VWC2,0.164149791203417
KDELR3,0.164021637027075
RING1,0.163815708950965
D8ERTD56E,0.163673391321611
ALS2CL,0.163034593085424
LOC102634450,0.162413865778648
C530044C16RIK,0.162283934176437
FGL2,0.162139870153134
4930526F13RIK,0.161686390573264
AK009121,0.161426499769919
GDF2,0.160924669149161
A430061O12RIK,0.160825614902096
RSAD1,0.159985778629095
ZIC1,0.159357869027403
LPAR6,0.159046770143085
SKOR1,0.158905956886173
2810006K23RIK,0.15853094964005
UNC5D,0.158331065973221
GARNL3,0.158169395810661
SRCRB4D,0.157823692094889
2900055J20RIK,0.157529382727623
HAP1,0.157433075515284
TMEM136,0.157409755985678
JMJD1C,0.156799742840776
CD248,0.156423872709966
MEIG1,0.156181326951676
RELN,0.155690189211455
RET,0.155514158479183
MEDAG,0.155269535580746
C920021L13RIK,0.154066034097374
9430091E24RIK,0.153800139048495
FCGRT,0.153800036524028
TH,0.153437453308162
ZFP184,0.153001968874252
NLGN1,0.152424116974508
RDH9,0.152313665976319
NTN4,0.152240522557489
CERK,0.152179261203532
LMO1,0.151887974942417
USMG2,0.151567467054219
CRHBP,0.151559538715112
LOC102636384,0.151551286623911
ZFP428,0.151442475806588
SMIM3,0.151438281598457
9630010G10RIK,0.151315872614685
EFCAB12,0.150844205587997
9530056K15RIK,0.150469188096252
SLC16A3,0.150198896791886
TMEM194B,0.149837416088727
PFN3,0.1491190704346
LINS,0.149116789091171
2900057B20RIK,0.148607907953859
1810010H24RIK,0.148353668548262
6030403N03RIK,0.148141057838094
IIGP1,0.148108194096706
SLC4A1,0.147886407453381
AATK,0.147674743247847
TMEM215,0.147634017728397
OPRD1,0.147560826521331
RBP4,0.147352456381355
PLXND1,0.147013782145553
TNFRSF13C,0.146841774916553
4930562F07RIK,0.146631773048969
C1QA,0.146505924812251
ZFP69,0.146484557806948
FXR2,0.146443873535375
4921509J17RIK,0.146075871177599
MIEF2,0.145815768745794
TPRN,0.145754567694006
CHRNA3,0.145118159001188
E130110O22RIK,0.144975910015424
CRLF2,0.144744749334864
D2ERTD63E,0.144506711160041
PAH,0.144499238714676
TMEM39A,0.144142646276519
MYO16,0.144111067699002
ITIH1,0.14400639101641
D4ERTD298E,0.143932424651543
GYS2,0.143862567263854
TNXB,0.143593072584597
COX18,0.142885868885268
ATP2A3,0.142780901684244
A830039H05RIK,0.142473618756786
SDF2L1,0.141898720614188
SV2C,0.141881334331156
TNFRSF13B,0.141859346780607
PFKFB4,0.141816937117629
GM2824,0.141713975666397
GGT1,0.141678222969358
NECAB2,0.141524093634733
FILIP1,0.14114215731023
5430404G13RIK,0.140513474581765
1600002H07RIK,0.140328498529465
PPFIBP2,0.140215404972534
