probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	mean_expression	contrast
ILMN_1743194	-0.679585930869335	6.15110223051156	-2.69506052014732	0.0246666768307253	0.776224576532904	-3.28901367505468	EEA1	6.15110223051156	exposure_corrected
ILMN_2347917	-0.345676270267191	6.17771083646719	-0.785939763397373	0.452167253613674	0.945926137002754	-5.70384141058009	EED	6.17771083646719	exposure_corrected
ILMN_2038774	-0.0689630469510655	15.8120231617094	-0.589976936092762	0.569770139419843	0.974352962469625	-5.83732656520667	EEF1A1	15.8120231617094	exposure_corrected
ILMN_2108735	-0.224920079797037	14.0198472611276	-1.11557450713771	0.293602757715654	0.9309934599977	-5.40835317263174	EEF1A2	14.0198472611276	exposure_corrected
ILMN_1730260	-0.434699270240688	7.94923048112777	-1.66584369049871	0.130216654901859	0.918143498815468	-4.76133478255111	EEF1AKMT1	7.94923048112777	exposure_corrected
ILMN_2318725	-0.0315259077453961	14.2970152407794	-0.163992436913695	0.873373436188683	1	-6.00178426415947	EEF1B2	14.2970152407794	exposure_corrected
ILMN_2408039	0.277945631288586	12.9257555636301	1.45419236775638	0.17997709253624	0.918143498815468	-5.02871977558443	EEF1D	12.9257555636301	exposure_corrected
ILMN_1725105	-0.0233933599730421	10.8129698020331	-0.0797730046686098	0.938169500960097	1	-6.01250704032672	EEF1E1	10.8129698020331	exposure_corrected
ILMN_2262288	0.104641853380244	15.4515615979366	0.864591671550157	0.409792138229373	0.940183602139928	-5.64098757597511	EEF1G	15.4515615979366	exposure_corrected
ILMN_1738383	-0.145924930658483	15.219563888472	-0.883884716164102	0.399832817183216	0.939933576949712	-5.62480087408117	EEF2	15.219563888472	exposure_corrected
ILMN_1789171	-0.285827841524345	6.81178312972295	-1.19069423166681	0.264334273941648	0.927834089636806	-5.33008207206124	EEF2K	6.81178312972295	exposure_corrected
ILMN_3250592	-0.0405507071309197	5.89321094851485	-0.0897979504959993	0.930421241963124	1	-6.01161817081462	EEF2KMT	5.89321094851485	exposure_corrected
ILMN_1732375	-1.23444637471398	2.73015239386194	-0.945407565072279	0.369223754892759	0.93847026344352	-5.57122552129539	EEFSEC	2.73015239386194	exposure_corrected
ILMN_1811616	1.46577879445679e-16	1.23636810231614	1.75695728826041e-16	1	1	-6.01583611048958	EEPD1	1.23636810231614	exposure_corrected
ILMN_1699562	-0.130546988331397	4.27121935679659	-0.141323529633962	0.890737907458701	1	-6.0053963222936	EFCAB1	4.27121935679659	exposure_corrected
ILMN_3266027	0.898689082093283	0.603103669489145	1.23643109325295	0.247699024193573	0.927278322123013	-5.28065788709393	EFCAB10	0.603103669489145	exposure_corrected
ILMN_2193315	-0.124606833621696	6.57858885562427	-0.340813137233436	0.741092201908822	1	-5.95546269882177	EFCAB11	6.57858885562427	exposure_corrected
ILMN_1795514	0.244644056710841	3.62292038192503	0.240901149830854	0.81504874036362	1	-5.98556916664024	EFCAB12	3.62292038192503	exposure_corrected
ILMN_1688422	-0.19601381033976	2.42311362051521	-0.142572046690022	0.88977984210485	1	-6.00521126951984	EFCAB13	2.42311362051521	exposure_corrected
ILMN_1697597	-0.426879002624141	8.18816602397207	-1.6235099935089	0.139047407956919	0.918143498815468	-4.81635228865872	EFCAB14	8.18816602397207	exposure_corrected
ILMN_1694068	0	0	0	1	1	-6.01583611048958	EFCAB2	0	exposure_corrected
ILMN_1726437	-1.26122263961966	4.23835491123969	-1.29753531950771	0.226827103570796	0.92651126452463	-5.21264496193041	EFCAB3	4.23835491123969	exposure_corrected
ILMN_1762233	0	0	0	1	1	-6.01583611048958	EFCAB5	0	exposure_corrected
ILMN_1669465	-0.0645440140604633	5.12310755044896	-0.149217780467216	0.884683375587737	1	-6.00419899819053	EFCAB6	5.12310755044896	exposure_corrected
ILMN_1822921	1.92418951991449	3.76373907944534	1.73266983774463	0.117311673336627	0.918143498815468	-4.67309220322425	EFCAB6-AS1	3.76373907944534	exposure_corrected
